id,Date_received,Product,Sub_product,Issue,Sub_issue,Consumer_complaint_narrative,Company_public_response,Company,State,ZIP_code,Tags,Consumer_consent_provided,Submitted_via,Date_sent_to_company,Company_response_to_consumer,Timely_response,Consumer_disputed,Complaint_ID
181510,2011-12-28,Mortgage,Conventional fixed mortgage,Settlement process and costs,,,,WELLS FARGO & COMPANY,VA,23221,,,Web,12/29/2011,Closed without relief,Yes,No,8330
181614,2011-12-13,Credit card,,Application processing delay,,,,Synovus Bank,AL,35064,,,Referral,12/21/2011,Untimely response,No,No,6039
181623,2011-12-09,Credit card,,Convenience checks,,,,"CITIBANK, N.A.",FL,34120,,,Postal mail,12/12/2011,Closed with relief,Yes,No,84182
181783,2011-12-02,Credit card,,APR or interest rate,,,,SYNCHRONY FINANCIAL,MN,55008,,,Referral,12/2/2011,Closed without relief,Yes,No,2651
181892,2011-12-23,Mortgage,Conventional fixed mortgage,Settlement process and costs,,,,OCWEN LOAN SERVICING LLC,FL,32344,,,Web,12/27/2011,Closed with relief,Yes,Yes,7773
182239,2011-12-15,Credit card,,Closing/Cancelling account,,,,BARCLAYS BANK DELAWARE,NC,28036,,,Web,12/16/2011,Closed with relief,Yes,No,6063
182451,2011-12-06,Credit card,,Collection practices,,,,DISCOVER BANK,TX,75904,,,Web,12/8/2011,Closed without relief,Yes,No,3194
182563,2011-12-09,Credit card,,APR or interest rate,,,,"CITIBANK, N.A.",NY,12409,,,Web,12/12/2011,Closed with relief,Yes,No,4358
182603,2011-12-31,Mortgage,Conventional adjustable mortgage (ARM),Loan servicing  payments  escrow account,,,,JPMORGAN CHASE & CO.,MD,20852,Older American,,Web,1/3/2012,Closed without relief,Yes,Yes,8993
182700,2011-12-22,Mortgage,Conventional adjustable mortgage (ARM),Loan servicing  payments  escrow account,,,,JPMORGAN CHASE & CO.,CA,95492,"Older American, Servicemember",,Web,12/22/2011,Closed without relief,Yes,No,7512
182762,2011-12-20,Credit card,,Identity theft / Fraud / Embezzlement,,,,DISCOVER BANK,GA,30281,,,Referral,12/21/2011,Closed without relief,Yes,No,7372
182861,2011-12-20,Mortgage,Conventional fixed mortgage,Loan modification collection foreclosure,,,,HSBC NORTH AMERICA HOLDINGS INC.,NY,10025,,,Phone,12/20/2011,Closed without relief,Yes,Yes,7022
183036,2011-12-27,Credit card,,Collection practices,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",TX,75054,,,Phone,12/29/2011,Closed without relief,Yes,No,13314
184047,2011-12-29,Mortgage,VA mortgage,Loan servicing  payments  escrow account,,,,UNITED SERVICES AUTOMOBILE ASSOCIATION,FL,32909,"Older American, Servicemember",,Web,12/30/2011,Closed without relief,No,No,8659
184126,2011-12-29,Credit card,,Identity theft / Fraud / Embezzlement,,,,JPMORGAN CHASE & CO.,,,,,Referral,12/29/2011,Closed without relief,Yes,No,69705
184381,2011-12-01,Credit card,,Credit determination,,,,HSBC NORTH AMERICA HOLDINGS INC.,WI,53212,,,Referral,12/1/2011,Closed without relief,Yes,No,2101
184559,2011-12-21,Credit card,,Application processing delay,,,,SYNCHRONY FINANCIAL,AZ,85260,,,Referral,12/22/2011,Closed with relief,Yes,No,7734
184755,2011-12-26,Credit card,,Identity theft / Fraud / Embezzlement,,,,JPMORGAN CHASE & CO.,FL,33496,,,Referral,12/27/2011,Closed without relief,Yes,No,64709
185358,2011-12-27,Mortgage,Conventional fixed mortgage,Loan modification collection foreclosure,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CT,6412,,,Web,12/28/2011,Closed without relief,Yes,No,8022
185493,2011-12-27,Mortgage,Other mortgage,Loan modification collection foreclosure,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",NC,28078,Older American,,Phone,12/29/2011,Closed without relief,Yes,No,8156
185573,2011-12-06,Credit card,,Billing disputes,,,,JPMORGAN CHASE & CO.,TN,37922,,,Postal mail,12/6/2011,Closed with relief,Yes,No,3140
186102,2011-12-07,Mortgage,FHA mortgage,Loan servicing  payments  escrow account,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",MD,20744,,,Phone,12/9/2011,Closed without relief,Yes,No,3577
186445,2011-12-30,Mortgage,Home equity loan or line of credit,Loan servicing  payments  escrow account,,,,PNC Bank N.A.,PA,18222,,,Phone,1/4/2012,Closed with relief,Yes,Yes,8769
186776,2011-12-02,Credit card,,Billing disputes,,,,JPMORGAN CHASE & CO.,MI,48462,,,Referral,12/2/2011,Closed with relief,Yes,No,2445
186783,2011-12-20,Mortgage,Conventional adjustable mortgage (ARM),Loan modification collection foreclosure,,,,"CITIBANK, N.A.",NC,28277,,,Web,12/21/2011,Closed without relief,Yes,Yes,6818
186909,2011-12-12,Mortgage,Conventional fixed mortgage,Loan servicing  payments  escrow account,,,,JPMORGAN CHASE & CO.,PA,12714,Older American,,Phone,12/13/2011,Closed without relief,Yes,Yes,4755
186966,2011-12-27,Mortgage,Conventional adjustable mortgage (ARM),Application  originator  mortgage broker,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",FL,32258,,,Web,12/28/2011,Closed without relief,Yes,Yes,8138
187225,2011-12-13,Mortgage,Conventional fixed mortgage,Settlement process and costs,,,,U.S. BANCORP,NV,89129,Older American,,Web,12/19/2011,Closed without relief,Yes,No,5192
187565,2011-12-05,Credit card,,Collection practices,,,,JPMORGAN CHASE & CO.,CA,94610,,,Referral,12/5/2011,Closed with relief,Yes,No,2842
187653,2011-12-08,Mortgage,Conventional adjustable mortgage (ARM),Credit decision / Underwriting,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",NY,12845,,,Phone,12/11/2011,Closed without relief,Yes,Yes,4094
187856,2011-12-02,Credit card,,Credit reporting,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",WA,98501,,,Referral,12/7/2011,Closed without relief,Yes,No,3488
187894,2011-12-12,Mortgage,Home equity loan or line of credit,Credit decision / Underwriting,,,,PNC Bank N.A.,PA,17954,,,Web,12/13/2011,Closed with relief,No,No,4688
187981,2011-12-05,Credit card,,Credit determination,,,,JPMORGAN CHASE & CO.,MO,64156,,,Referral,12/5/2011,Closed without relief,Yes,No,3037
188077,2011-12-11,Mortgage,Other mortgage,Loan modification collection foreclosure,,,,JPMORGAN CHASE & CO.,CA,92130,,,Web,12/11/2011,Closed without relief,Yes,No,4201
188672,2011-12-27,Mortgage,FHA mortgage,Loan modification collection foreclosure,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,92126,,,Web,12/28/2011,Closed without relief,Yes,Yes,7969
188984,2011-12-01,Credit card,,Balance transfer,,,,"CITIBANK, N.A.",TX,75228,,,Web,12/2/2011,Closed with relief,Yes,No,2099
189362,2011-12-13,Mortgage,Conventional fixed mortgage,Loan modification collection foreclosure,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,91377,,,Web,12/14/2011,Closed without relief,No,Yes,5263
189723,2011-12-01,Credit card,,Billing disputes,,,,AMERICAN EXPRESS COMPANY,OH,45409,,,Referral,12/1/2011,Closed without relief,Yes,No,2151
189926,2011-12-02,Credit card,,APR or interest rate,,,,SYNCHRONY FINANCIAL,AZ,85387,,,Referral,12/2/2011,Closed with relief,Yes,No,2536
191237,2011-12-14,Mortgage,Home equity loan or line of credit,Application  originator  mortgage broker,,,,TD BANK US HOLDING COMPANY,NY,12776,,,Phone,12/19/2011,Closed without relief,Yes,Yes,5764
191383,2011-12-06,Credit card,,Late fee,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,91335,,,Referral,12/6/2011,Closed with relief,Yes,No,3182
191790,2011-12-10,Credit card,,Closing/Cancelling account,,,,BARCLAYS BANK DELAWARE,GA,30341,,,Web,12/19/2011,Closed without relief,Yes,No,4508
192523,2011-12-22,Credit card,,Late fee,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",NJ,8854,,,Referral,12/22/2011,Closed with relief,Yes,No,7698
192599,2011-12-28,Mortgage,Conventional fixed mortgage,Loan servicing  payments  escrow account,,,,OCWEN LOAN SERVICING LLC,PA,18411,Older American,,Web,12/28/2011,Closed without relief,Yes,No,8250
193277,2011-12-16,Credit card,,Late fee,,,,CAPITAL ONE FINANCIAL CORPORATION,FL,33030,,,Web,12/19/2011,Closed with relief,Yes,No,6108
193692,2011-12-06,Credit card,,Late fee,,,,"CITIBANK, N.A.",GA,31326,,,Referral,12/13/2011,Closed with relief,Yes,No,5202
194173,2011-12-27,Credit card,,Identity theft / Fraud / Embezzlement,,,,FIRST NATIONAL BANK OF OMAHA,FL,33496,,,Referral,12/27/2011,Closed without relief,Yes,No,69863
194407,2011-12-12,Mortgage,Conventional fixed mortgage,Application  originator  mortgage broker,,,,"CITIBANK, N.A.",MD,20721,,,Web,12/14/2011,Closed without relief,Yes,No,5093
194691,2011-12-01,Mortgage,FHA mortgage,Loan servicing  payments  escrow account,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",MD,20774,,,Web,12/2/2011,Closed without relief,Yes,No,2241
195384,2011-12-02,Credit card,,Advertising and marketing,,,,SYNCHRONY FINANCIAL,MD,21210,,,Referral,12/2/2011,Closed with relief,Yes,No,2622
195637,2011-12-01,Credit card,,Other,,,,SYNCHRONY FINANCIAL,TN,38351,,,Referral,12/1/2011,Closed without relief,Yes,No,2243
195825,2011-12-17,Mortgage,Other mortgage,Loan servicing  payments  escrow account,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",IL,60423,,,Web,12/20/2011,Closed without relief,Yes,No,6472
196214,2011-12-07,Credit card,,Billing disputes,,,,AMERICAN EXPRESS COMPANY,TX,76107,Older American,,Phone,12/9/2011,Closed without relief,Yes,No,3699
196441,2011-12-15,Mortgage,Conventional fixed mortgage,Loan modification collection foreclosure,,,,"SUNTRUST BANKS, INC.",VA,22737,,,Referral,12/15/2011,Closed without relief,Yes,Yes,5984
196584,2011-12-23,Credit card,,Credit line increase/decrease,,,,DISCOVER BANK,TX,78759,,,Referral,12/30/2011,Closed without relief,Yes,No,8590
196827,2011-12-14,Mortgage,Other mortgage,Loan servicing  payments  escrow account,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",WA,98333,,,Referral,12/19/2011,Closed without relief,Yes,No,5788
197292,2011-12-23,Mortgage,Other mortgage,Loan modification collection foreclosure,,,,WELLS FARGO & COMPANY,CA,92653,,,Web,12/27/2011,Closed without relief,Yes,No,7826
197553,2011-12-13,Mortgage,Conventional fixed mortgage,Loan servicing  payments  escrow account,,,,U.S. BANCORP,ID,83630,,,Web,12/19/2011,Closed with relief,Yes,No,5516
197698,2011-12-30,Credit card,,Credit reporting,,,,U.S. BANCORP,ME,4092,,,Referral,1/5/2012,Closed with relief,Yes,No,8853
197821,2011-12-20,Mortgage,Conventional adjustable mortgage (ARM),Loan modification collection foreclosure,,,,"CIT BANK, NATIONAL ASSOCIATION",NC,28117,,,Referral,12/21/2011,Closed without relief,No,Yes,7204
198303,2011-12-13,Mortgage,Conventional fixed mortgage,Loan modification collection foreclosure,,,,"SUNTRUST BANKS, INC.",LA,70125,Older American,,Web,12/16/2011,Closed without relief,Yes,No,5467
198465,2011-12-19,Mortgage,Conventional fixed mortgage,Application  originator  mortgage broker,,,,"CITIBANK, N.A.",FL,32223,,,Web,12/21/2011,Closed without relief,Yes,Yes,6777
199508,2011-12-20,Mortgage,FHA mortgage,Loan servicing  payments  escrow account,,,,WELLS FARGO & COMPANY,MN,56029,Servicemember,,Phone,12/21/2011,Closed with relief,Yes,No,7106
199682,2011-12-02,Mortgage,Other mortgage,Loan servicing  payments  escrow account,,,,HSBC NORTH AMERICA HOLDINGS INC.,GA,30047,,,Web,12/19/2011,Closed without relief,Yes,No,2551
199772,2011-12-06,Mortgage,FHA mortgage,Loan servicing  payments  escrow account,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",NY,11412,,,Web,12/8/2011,Closed without relief,No,No,3160
200015,2011-12-17,Mortgage,Other mortgage,Loan modification collection foreclosure,,,,JPMORGAN CHASE & CO.,CA,95670,Older American,,Web,12/21/2011,Closed with relief,Yes,Yes,6471
200504,2011-12-13,Mortgage,Other mortgage,Loan modification collection foreclosure,,,,OCWEN LOAN SERVICING LLC,OH,45801,,,Referral,12/14/2011,Closed without relief,Yes,No,5572
200924,2011-12-08,Mortgage,Other mortgage,Loan servicing  payments  escrow account,,,,M&T BANK CORPORATION,CA,95503,,,Referral,12/9/2011,Closed with relief,Yes,No,3879
201240,2011-12-06,Mortgage,FHA mortgage,Application  originator  mortgage broker,,,,"CITIBANK, N.A.",CA,94582,,,Web,12/8/2011,Closed with relief,Yes,No,3224
201872,2011-12-07,Credit card,,Collection debt dispute,,,,JPMORGAN CHASE & CO.,NY,12498,,,Referral,12/7/2011,Closed without relief,Yes,No,83442
201949,2011-12-05,Credit card,,Credit determination,,,,"CITIBANK, N.A.",OH,44011,,,Referral,12/5/2011,Closed without relief,No,Yes,3088
202301,2011-12-06,Credit card,,Billing disputes,,,,"CITIBANK, N.A.",,,,,Referral,12/9/2011,Closed without relief,Yes,No,4306
202322,2011-12-08,Credit card,,Delinquent account,,,,SYNCHRONY FINANCIAL,TX,78717,,,Web,12/12/2011,Closed without relief,Yes,Yes,4182
202418,2011-12-07,Mortgage,Conventional fixed mortgage,Loan modification collection foreclosure,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,90808,,,Web,12/7/2011,Closed without relief,Yes,No,3375
203482,2011-12-23,Mortgage,Other mortgage,Loan modification collection foreclosure,,,,WELLS FARGO & COMPANY,GA,30039,,,Postal mail,12/29/2011,Closed without relief,Yes,No,7871
203731,2011-12-19,Mortgage,Conventional fixed mortgage,Loan servicing  payments  escrow account,,,,OCWEN LOAN SERVICING LLC,NY,11935,Older American,,Referral,12/21/2011,Closed with relief,Yes,No,6546
204012,2011-12-07,Credit card,,APR or interest rate,,,,JPMORGAN CHASE & CO.,CA,95119,,,Web,12/7/2011,Closed without relief,Yes,No,2040
204568,2011-12-14,Mortgage,FHA mortgage,Loan modification collection foreclosure,,,,HSBC NORTH AMERICA HOLDINGS INC.,NY,10603,,,Web,12/21/2011,Closed without relief,Yes,No,5737
204871,2011-12-08,Mortgage,Conventional fixed mortgage,Loan servicing  payments  escrow account,,,,WELLS FARGO & COMPANY,CA,95006,,,Web,12/9/2011,Closed without relief,Yes,No,3948
204904,2011-12-28,Credit card,,Identity theft / Fraud / Embezzlement,,,,JPMORGAN CHASE & CO.,FL,33496,,,Referral,12/28/2011,Closed without relief,Yes,No,8221
204973,2011-12-09,Mortgage,Other mortgage,Loan modification collection foreclosure,,,,OCWEN LOAN SERVICING LLC,WA,99169,,,Referral,12/12/2011,Closed with relief,Yes,No,4954
205126,2011-12-23,Credit card,,Credit line increase/decrease,,,,JPMORGAN CHASE & CO.,NY,11779,,,Web,12/23/2011,Closed with relief,Yes,No,7796
205374,2011-12-20,Credit card,,Forbearance / Workout plans,,,,CAPITAL ONE FINANCIAL CORPORATION,GA,31316,,,Referral,12/20/2011,Closed without relief,Yes,No,7084
205579,2011-12-13,Mortgage,Home equity loan or line of credit,Loan modification collection foreclosure,,,,OCWEN LOAN SERVICING LLC,CO,80831,Servicemember,,Web,12/19/2011,Closed without relief,Yes,Yes,5193
205635,2011-12-16,Mortgage,Conventional fixed mortgage,Loan servicing  payments  escrow account,,,,JPMORGAN CHASE & CO.,CA,95765,,,Web,12/21/2011,Closed without relief,Yes,Yes,6253
205780,2011-12-15,Mortgage,Conventional fixed mortgage,Loan servicing  payments  escrow account,,,,"CITIBANK, N.A.",CA,92130,,,Web,12/21/2011,Closed without relief,Yes,No,5992
205882,2011-12-21,Mortgage,Conventional adjustable mortgage (ARM),Credit decision / Underwriting,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,91786,Older American,,Web,1/24/2012,Closed with relief,Yes,No,6786
206234,2011-12-08,Mortgage,Conventional fixed mortgage,Loan modification collection foreclosure,,,,"CITIBANK, N.A.",IL,60707,,,Web,12/11/2011,Closed without relief,Yes,No,4152
206382,2011-12-14,Mortgage,Other mortgage,Loan servicing  payments  escrow account,,,,JPMORGAN CHASE & CO.,WA,98407,,,Web,12/21/2011,Closed with relief,Yes,No,5547
207023,2011-12-07,Credit card,,Credit determination,,,,JPMORGAN CHASE & CO.,FL,32806,,,Web,12/9/2011,Closed without relief,Yes,No,3755
207429,2011-12-08,Mortgage,Conventional fixed mortgage,Loan servicing  payments  escrow account,,,,WELLS FARGO & COMPANY,CA,92109,,,Web,12/8/2011,Closed without relief,Yes,No,3927
207777,2011-12-16,Credit card,,Identity theft / Fraud / Embezzlement,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",IN,47303,,,Web,12/21/2011,Closed without relief,Yes,No,6171
207925,2011-12-16,Mortgage,Conventional fixed mortgage,Settlement process and costs,,,,"CMG MORTGAGE, INC.",CA,91313,,,Web,6/13/2012,Closed with explanation,Yes,No,6174
208152,2011-12-29,Credit card,,Closing/Cancelling account,,,,"CITIBANK, N.A.",CA,95992,,,Web,12/30/2011,Closed with relief,Yes,No,8708
208612,2011-12-15,Mortgage,FHA mortgage,Loan servicing  payments  escrow account,,,,"CITIBANK, N.A.",OH,45013,,,Web,12/19/2011,Closed with relief,Yes,No,5937
208736,2011-12-05,Credit card,,Other,,,,"CITIBANK, N.A.",MD,20721,,,Referral,12/5/2011,Closed with relief,Yes,No,2806
208909,2011-12-14,Mortgage,FHA mortgage,Loan modification collection foreclosure,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",VA,24592,,,Web,12/19/2011,Closed without relief,Yes,No,5580
210565,2011-12-15,Credit card,,Payoff process,,,,SYNCHRONY FINANCIAL,FL,34761,,,Web,12/20/2011,Closed with relief,Yes,No,5875
210592,2011-12-06,Credit card,,Billing statement,,,,CAPITAL ONE FINANCIAL CORPORATION,KS,67110,,,Referral,12/6/2011,Closed without relief,Yes,Yes,3441
210710,2011-12-06,Credit card,,APR or interest rate,,,,CAPITAL ONE FINANCIAL CORPORATION,NY,12528,,,Web,12/8/2011,Closed without relief,Yes,No,3427
210935,2011-12-23,Mortgage,Conventional fixed mortgage,Loan modification collection foreclosure,,,,"CIT BANK, NATIONAL ASSOCIATION",HI,96740,,,Web,12/30/2011,Closed without relief,Yes,No,7769
212388,2011-12-22,Mortgage,Other mortgage,Credit decision / Underwriting,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",MI,48734,,,Web,12/22/2011,Closed without relief,Yes,No,7600
212471,2011-12-25,Credit card,,Closing/Cancelling account,,,,AMERICAN EXPRESS COMPANY,IL,60618,,,Web,12/28/2011,Closed with relief,Yes,No,2494
212616,2011-12-12,Credit card,,APR or interest rate,,,,SYNCHRONY FINANCIAL,OH,45207,,,Phone,12/16/2011,Closed with relief,Yes,No,4976
212635,2011-12-05,Credit card,,Billing disputes,,,,JPMORGAN CHASE & CO.,NY,11210,,,Referral,12/5/2011,Closed without relief,Yes,Yes,3006
212980,2011-12-02,Credit card,,Identity theft / Fraud / Embezzlement,,,,"CITIBANK, N.A.",TX,76013,,,Referral,12/9/2011,Closed without relief,Yes,No,2516
213045,2011-12-25,Credit card,,Unsolicited issuance of credit card,,,,CAPITAL ONE FINANCIAL CORPORATION,PA,18824,,,Web,12/28/2011,Closed with relief,Yes,No,7918
213412,2011-12-06,Credit card,,APR or interest rate,,,,CAPITAL ONE FINANCIAL CORPORATION,IL,60071,,,Web,12/7/2011,Closed without relief,Yes,No,3153
213599,2011-12-19,Mortgage,Conventional fixed mortgage,Loan modification collection foreclosure,,,,OCWEN LOAN SERVICING LLC,NJ,8062,,,Web,12/19/2011,Closed without relief,No,No,6521
213651,2011-12-15,Mortgage,Conventional fixed mortgage,Loan modification collection foreclosure,,,,JPMORGAN CHASE & CO.,CA,90048,,,Referral,12/15/2011,Closed without relief,Yes,No,5923
213710,2011-12-22,Mortgage,Other mortgage,Loan servicing  payments  escrow account,,,,WELLS FARGO & COMPANY,NJ,7440,,,Referral,12/22/2011,Closed without relief,Yes,No,7730
213743,2011-12-08,Mortgage,Conventional adjustable mortgage (ARM),Loan modification collection foreclosure,,,,WELLS FARGO & COMPANY,CA,94566,,,Web,12/12/2011,Closed without relief,Yes,No,4063
214046,2011-12-02,Mortgage,Other mortgage,Loan servicing  payments  escrow account,,,,WELLS FARGO & COMPANY,CT,6451,,,Postal mail,12/6/2011,Closed without relief,Yes,No,2577
214119,2011-12-14,Mortgage,Conventional fixed mortgage,Credit decision / Underwriting,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",TX,77449,,,Web,12/19/2011,Closed without relief,No,No,5575
214395,2011-12-01,Credit card,,Credit reporting,,,,CAPITAL ONE FINANCIAL CORPORATION,MI,48083,,,Referral,12/1/2011,Closed without relief,Yes,No,2060
214669,2011-12-29,Credit card,,Identity theft / Fraud / Embezzlement,,,,"CITIBANK, N.A.",TX,75423,,,Referral,12/29/2011,Closed without relief,Yes,No,8560
215351,2011-12-29,Mortgage,Other mortgage,Loan servicing  payments  escrow account,,,,"FLAGSTAR BANK, FSB",FL,33189,Older American,,Web,12/29/2011,Closed without relief,Yes,No,8472
215710,2011-12-11,Credit card,,Delinquent account,,,,CAPITAL ONE FINANCIAL CORPORATION,MN,55122,,,Web,12/12/2011,Closed with relief,Yes,No,4567
215926,2011-12-15,Mortgage,Other mortgage,Loan servicing  payments  escrow account,,,,JPMORGAN CHASE & CO.,NY,10523,,,Web,12/21/2011,Closed without relief,Yes,No,5869
216646,2011-12-15,Mortgage,Other mortgage,Loan servicing  payments  escrow account,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",PA,19508,,,Web,12/21/2011,Closed without relief,Yes,No,5876
216717,2011-12-07,Credit card,,Credit reporting,,,,"CITIBANK, N.A.",MI,48083,,,Referral,12/7/2011,Closed without relief,Yes,No,3642
217014,2011-12-06,Credit card,,Forbearance / Workout plans,,,,AMERICAN EXPRESS COMPANY,CA,91730,Servicemember,,Web,12/9/2011,Closed without relief,Yes,Yes,3366
217338,2011-12-03,Credit card,,Other,,,,AMERICAN EXPRESS COMPANY,NC,28277,,,Web,12/6/2011,Closed with relief,Yes,No,2734
218559,2011-12-20,Credit card,,Other fee,,,,"CITIBANK, N.A.",MD,21146,Servicemember,,Phone,12/21/2011,Closed without relief,No,No,6817
218797,2011-12-13,Mortgage,Other mortgage,Loan modification collection foreclosure,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,94061,,,Web,12/15/2011,Closed without relief,Yes,No,5407
219144,2011-12-21,Mortgage,Conventional fixed mortgage,Loan servicing  payments  escrow account,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,94526,,,Web,12/21/2011,Closed without relief,Yes,Yes,7421
219238,2011-12-22,Credit card,,Late fee,,,,SYNCHRONY FINANCIAL,OH,43082,,,Web,12/23/2011,Closed without relief,Yes,No,7670
219279,2011-12-01,Credit card,,Identity theft / Fraud / Embezzlement,,,,JPMORGAN CHASE & CO.,VA,20115,,,Web,12/6/2011,Closed without relief,Yes,No,2280
219396,2011-12-01,Credit card,,Billing disputes,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",NY,12549,,,Referral,12/1/2011,Closed with relief,Yes,No,2348
219484,2011-12-20,Credit card,,Billing statement,,,,DISCOVER BANK,VA,22901,,,Web,12/27/2011,Closed without relief,Yes,No,7193
220138,2011-12-06,Credit card,,APR or interest rate,,,,CAPITAL ONE FINANCIAL CORPORATION,CA,95762,Older American,,Web,12/7/2011,Closed without relief,Yes,No,3187
220253,2011-12-14,Mortgage,Other mortgage,Loan servicing  payments  escrow account,,,,WELLS FARGO & COMPANY,NY,14127,,,Phone,1/10/2012,Closed without relief,Yes,Yes,5721
220442,2011-12-06,Credit card,,Collection practices,,,,CAPITAL ONE FINANCIAL CORPORATION,NY,11207,,,Referral,12/6/2011,Closed without relief,Yes,No,3397
220698,2011-12-14,Mortgage,Conventional adjustable mortgage (ARM),Loan servicing  payments  escrow account,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,90025,Older American,,Web,12/19/2011,Closed without relief,No,No,5738
221118,2011-12-06,Credit card,,Payoff process,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",NJ,7013,,,Referral,12/6/2011,Closed with relief,Yes,No,3454
221165,2011-12-10,Mortgage,Conventional adjustable mortgage (ARM),Loan modification collection foreclosure,,,,WELLS FARGO & COMPANY,NH,3450,,,Web,12/20/2011,Closed without relief,Yes,Yes,4487
221217,2011-12-03,Credit card,,Advertising and marketing,,,,CAPITAL ONE FINANCIAL CORPORATION,CA,95252,Older American,,Web,12/5/2011,Closed without relief,Yes,No,72918
221711,2011-12-14,Mortgage,Other mortgage,Loan modification collection foreclosure,,,,WELLS FARGO & COMPANY,MD,21146,,,Web,12/21/2011,Closed without relief,Yes,No,5751
222783,2011-12-17,Credit card,,Payoff process,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,95672,,,Web,12/19/2011,Closed with relief,Yes,Yes,6452
223142,2011-12-07,Credit card,,Other fee,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",TX,76116,,,Web,12/7/2011,Closed without relief,Yes,No,3482
224161,2011-12-20,Mortgage,Conventional fixed mortgage,Loan modification collection foreclosure,,,,Ditech Financial LLC,AZ,85353,,,Web,3/23/2012,Closed with relief,Yes,Yes,1459
224290,2011-12-12,Credit card,,Other,,,,"CITIBANK, N.A.",CA,90025,,,Web,12/16/2011,Closed without relief,Yes,Yes,5069
224320,2011-12-22,Mortgage,Other mortgage,Application  originator  mortgage broker,,,,BANK OF HAWAII CORPORATION,HI,96743,,,Web,6/26/2012,Closed,Yes,No,7718
224433,2011-12-21,Mortgage,Conventional adjustable mortgage (ARM),Loan modification collection foreclosure,,,,WELLS FARGO & COMPANY,CA,91602,Older American,,Web,12/21/2011,Closed without relief,Yes,Yes,7251
224621,2011-12-12,Mortgage,Conventional adjustable mortgage (ARM),Loan modification collection foreclosure,,,,JPMORGAN CHASE & CO.,CA,92649,,,Web,12/13/2011,Closed without relief,Yes,No,4863
225117,2011-12-01,Credit card,,Credit determination,,,,TD BANK US HOLDING COMPANY,IL,60302,,,Referral,12/1/2011,Closed without relief,Yes,No,2207
226077,2011-12-31,Mortgage,Conventional fixed mortgage,Application  originator  mortgage broker,,,,"CITIBANK, N.A.",CA,94526,,,Web,1/3/2012,Closed without relief,Yes,No,9000
226484,2011-12-10,Mortgage,Conventional fixed mortgage,Loan servicing  payments  escrow account,,,,JPMORGAN CHASE & CO.,OR,97005,,,Web,12/12/2011,Closed without relief,Yes,No,4466
226521,2011-12-14,Mortgage,Other mortgage,Loan modification collection foreclosure,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,92101,Older American,,Web,12/16/2011,Closed without relief,No,No,5628
226765,2011-12-07,Mortgage,Conventional fixed mortgage,Application  originator  mortgage broker,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",WV,26059,,,Phone,12/9/2011,Closed without relief,No,No,3751
227498,2011-12-30,Mortgage,Conventional adjustable mortgage (ARM),Application  originator  mortgage broker,,,,WELLS FARGO & COMPANY,CA,90745,Servicemember,,Phone,1/4/2012,Closed without relief,Yes,No,8950
227797,2011-12-09,Credit card,,Other,,,,JPMORGAN CHASE & CO.,VA,23703,,,Web,12/12/2011,Closed with relief,Yes,No,4235
227971,2011-12-30,Credit card,,Identity theft / Fraud / Embezzlement,,,,DISCOVER BANK,OH,44121,,,Phone,1/4/2012,Closed without relief,Yes,No,8757
227991,2011-12-02,Credit card,,Identity theft / Fraud / Embezzlement,,,,AMERICAN EXPRESS COMPANY,FL,33415,,,Referral,12/2/2011,Closed without relief,Yes,No,166
229312,2011-12-18,Mortgage,FHA mortgage,Loan modification collection foreclosure,,,,WELLS FARGO & COMPANY,CT,6457,,,Web,12/20/2011,Closed without relief,Yes,No,6509
