id,Date_received,Product,Sub_product,Issue,Sub_issue,Consumer_complaint_narrative,Company_public_response,Company,State,ZIP_code,Tags,Consumer_consent_provided,Submitted_via,Date_sent_to_company,Company_response_to_consumer,Timely_response,Consumer_disputed,Complaint_ID
9890,2011-12-06,Credit card,,APR or interest rate,,,,JPMORGAN CHASE & CO.,IN,46392,,,Referral,12/6/2011,Closed with relief,Yes,No,3424
10296,2011-12-07,Credit card,,APR or interest rate,,,,"CITIBANK, N.A.",FL,34232,,,Referral,12/7/2011,Closed without relief,Yes,Yes,3501
11233,2011-12-23,Mortgage,Conventional fixed mortgage,Loan servicing  payments  escrow account,,,,"CITIBANK, N.A.",GA,30101,,,Web,12/28/2011,Closed with relief,Yes,No,7813
11538,2011-12-05,Mortgage,Conventional fixed mortgage,Loan servicing  payments  escrow account,,,,"BANKUNITED, NATIONAL ASSOCIATION",FL,33324,,,Web,2/9/2012,Closed without relief,Yes,Yes,3042
11749,2011-12-07,Mortgage,Reverse mortgage,Loan servicing  payments  escrow account,,,,SYNCHRONY FINANCIAL,DE,19977,Older American,,Phone,1/31/2012,Closed without relief,Yes,No,3651
11958,2011-12-13,Mortgage,Conventional adjustable mortgage (ARM),Credit decision / Underwriting,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,92688,Older American,,Web,12/15/2011,Closed without relief,Yes,No,5316
12011,2011-12-31,Credit card,,Billing disputes,,,,AMERICAN EXPRESS COMPANY,CA,93619,,,Referral,1/4/2012,Closed without relief,Yes,Yes,8958
12096,2011-12-05,Credit card,,Identity theft / Fraud / Embezzlement,,,,JPMORGAN CHASE & CO.,IL,60202,,,Referral,12/5/2011,Closed without relief,Yes,No,2934
12213,2011-12-11,Mortgage,Conventional fixed mortgage,Application  originator  mortgage broker,,,,"CITIBANK, N.A.",MI,48331,,,Web,12/13/2011,Closed without relief,Yes,Yes,4640
12480,2011-12-29,Credit card,,Identity theft / Fraud / Embezzlement,,,,WELLS FARGO & COMPANY,UT,84532,,,Web,12/30/2011,Closed without relief,Yes,No,8541
12597,2011-12-06,Credit card,,Billing disputes,,,,JPMORGAN CHASE & CO.,NJ,7748,,,Referral,12/6/2011,Closed without relief,Yes,Yes,3385
13062,2011-12-16,Mortgage,Other mortgage,Loan servicing  payments  escrow account,,,,M&T BANK CORPORATION,CA,93012,,,Referral,12/19/2011,Closed without relief,No,No,6530
13476,2011-12-29,Mortgage,Conventional adjustable mortgage (ARM),Application  originator  mortgage broker,,,,WELLS FARGO & COMPANY,CA,94112,,,Web,12/29/2011,Closed without relief,Yes,No,8470
14149,2011-12-07,Mortgage,Conventional fixed mortgage,Loan modification collection foreclosure,,,,U.S. BANCORP,FL,33547,,,Phone,12/11/2011,Closed without relief,Yes,Yes,3768
14764,2011-12-21,Mortgage,Other mortgage,Loan modification collection foreclosure,,,,OCWEN LOAN SERVICING LLC,GA,30127,,,Referral,3/23/2012,Closed with relief,Yes,No,7430
15016,2011-12-17,Mortgage,Conventional fixed mortgage,Loan modification collection foreclosure,,,,WELLS FARGO & COMPANY,MD,21921,,,Web,12/21/2011,Closed without relief,Yes,No,6468
